Longitude,Latitude,UserID,Genus,Family,DBH,Inventory_,Species,Common_Nam,Condition,Tree_Heigh,Crown_Widt,Crown_Wi_1,Crown_Base,Collected_,Park,Scientific,Structural,Carbon_Sto,Carbon_S_1,Carbon_Seq,Carbon_S_2,Stormwater,Stormwat_1,Pollution_,Pollutio_1,Total_Annu,Origin,Species_Fa,month,year,crown_wi_2,tree_width,ndvi_count,ndvi_mean,ndvi_media,ndvi_stdev,ndvi_min,ndvi_max,ndvi_range,ndvi_varia
-122.732434359540761,45.480633732574738,"15132",Acer,Sapindaceae,13.500000000000000,2019/05/09,ACPL,Norway Maple,Fair,"37","36","36","7",Staff,Pendleton Park,Acer platanoides,"2329.82","751.7","48.76","23.6","1.53","55.5","3.71","6.74","14.9","11.98","Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,"5","2019",36.000000000000000,18.000,10.000000000000000,0.537180095911026,0.538326263427734,0.057214766524034,0.444785356521606,0.614319086074829,0.169533729553223,0.003273529508400
-122.732438966208022,45.480695483695875,"15133",Acer,Sapindaceae,14.600000000000000,2019/05/09,ACPL,Norway Maple,Fair,"42","47","37","8",Staff,Pendleton Park,Acer platanoides,"2698.52","896.9","58.17","26","1.69","56.5","3.78","6.86","15.2","12.33","Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,"5","2019",42.000000000000000,21.000,15.000000000000000,0.594232602914174,0.597982108592987,0.021774810508542,0.528219878673553,0.617826402187347,0.089606523513794,0.000474142372683
-122.732716917619584,45.480779012483104,"15134",Acer,Sapindaceae,16.300000000000001,2019/05/09,ACPL,Norway Maple,Fair,"48","49","46","6",Staff,Pendleton Park,Acer platanoides,"3325.12","1149.5","74.56","29.9","1.94","95.4","6.37","11.58","25.7","19.9","Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,"5","2019",47.500000000000000,23.750,21.000000000000000,0.591935064111437,0.595636725425720,0.017336752403302,0.565704226493835,0.620362818241119,0.054658591747284,0.000300562983893
-122.732395106361125,45.480121363309443,"15141",Acer,Sapindaceae,8.100000000000000,2019/05/09,ACPL,Norway Maple,Fair,"28","22","17","10",Staff,Pendleton Park,Acer platanoides,"938.51","238.2","15.45","12.4","0.8","19.7","1.32","2.39","5.3","4.51","Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,"5","2019",19.500000000000000,9.750,4.000000000000000,0.495629958808422,0.496826618909836,0.024295148555357,0.464043706655502,0.524822890758514,0.060779184103012,0.000590254243327
-122.732274011018660,45.480639366202766,"15142",Acer,Sapindaceae,13.300000000000001,2019/05/09,ACPL,Norway Maple,Fair,"34","42","37","6",Staff,Pendleton Park,Acer platanoides,"2265.89","726.9","47.15","23.1","1.5","56.6","3.79","6.88","15.2","12.17","Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,"5","2019",39.500000000000000,19.750,13.000000000000000,0.580127578515273,0.584309875965118,0.024895579924424,0.532879233360291,0.616039395332336,0.083160161972046,0.000619789899773
-122.732551811045695,45.480699482793874,"15145",Acer,Sapindaceae,15.400000000000000,2019/05/09,ACPL,Norway Maple,Fair,"40","39","37","7",Staff,Pendleton Park,Acer platanoides,"2984.8","1011.4","65.6","27.9","1.81","62.8","4.2","7.63","16.9","13.64","Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,"5","2019",38.000000000000000,19.000,10.000000000000000,0.555729463696480,0.567783445119858,0.044943385449869,0.456903308629990,0.613101720809937,0.156198412179947,0.002019907895696
-122.732674419077441,45.480719071219362,"15158",Acer,Sapindaceae,13.400000000000000,2019/05/09,ACPL,Norway Maple,Fair,"47","52","40","8",Staff,Pendleton Park,Acer platanoides,"2297.73","739.4","47.96","23.4","1.52","85.9","5.74","10.43","23.1","17.68","Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,"5","2019",46.000000000000000,23.000,18.000000000000000,0.547253890169991,0.568888425827026,0.061741782399182,0.419778198003769,0.615160703659058,0.195382505655289,0.003812047693828
-122.732991168396694,45.480840770567809,"15159",Acer,Sapindaceae,13.100000000000000,2019/05/09,ACPL,Norway Maple,Fair,"47","40","39","7",Staff,Pendleton Park,Acer platanoides,"2202.9","702.5","45.56","22.7","1.47","56.4","3.77","6.86","15.2","12.1","Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,"5","2019",39.500000000000000,19.750,14.000000000000000,0.581931505884443,0.583249002695084,0.019669265300858,0.545908331871033,0.614417374134064,0.068509042263031,0.000386879997476
-122.732740722766124,45.480957797382331,"15160",Thuja,Cupressaceae,3.400000000000000,2019/05/09,THPL,Western Redcedar,Fair,"16","11","12","0",Staff,Pendleton Park,Thuja plicata,"44.38","13.9","0.9","0.3","0.02","6.1","0.41","0.74","1.6","1.18","North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.","5","2019",11.500000000000000,5.750,2.000000000000000,0.614328861236572,0.614328861236572,0.007706403732300,0.606622457504272,0.622035264968872,0.015412807464600,0.000059388658485
-122.732798876134240,45.480650864822294,"15167",Acer,Sapindaceae,11.900000000000000,2019/05/09,ACPL,Norway Maple,Fair,"47","36","34","7",Staff,Pendleton Park,Acer platanoides,"1845.06","565.9","36.71","20.1","1.3","53.6","3.59","6.51","14.4","11.4","Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,"5","2019",35.000000000000000,17.500,11.000000000000000,0.548734106800773,0.573295116424561,0.050348006300224,0.446774989366531,0.603391647338867,0.156616657972336,0.002534921738407
-122.732230339492418,45.480905824681557,"15174",Acer,Sapindaceae,20.600000000000001,2019/05/09,ACPL,Norway Maple,Fair,"52","53","55","6",Staff,Pendleton Park,Acer platanoides,"5217.77","1949.7","126.47","40.3","2.62","123.2","8.24","14.97","33.2","25.82","Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,"5","2019",54.000000000000000,27.000,23.000000000000000,0.614135236843773,0.617904365062714,0.022413291524770,0.561195850372314,0.646817624568939,0.085621774196625,0.000502355636974
-122.732868281184807,45.480633169602008,"15176",Acer,Sapindaceae,9.800000000000001,2019/05/09,ACPL,Norway Maple,Fair,"37","25","26","6",Staff,Pendleton Park,Acer platanoides,"1301.49","365.6","23.72","15.7","1.02","37.5","2.51","4.56","10.1","8.09","Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,"5","2019",25.500000000000000,12.750,6.000000000000000,0.571495552857717,0.568600624799728,0.022537149779689,0.536499917507172,0.602560758590698,0.066060841083527,0.000507923120192
