tree_id_nu,health_rat,sample_ndvi,species,method
NM22,good,0.488517737814358,ACPL,lidar
NM20,good,0.512261304590437,ACPL,lidar
WRC23,fair,0.501804493367672,THPL,lidar
NM21,good,0.62943841162182,ACPL,lidar
WRC22,fair,0.578129880958133,THPL,lidar
WRC20,good,0.53992842303382,THPL,lidar
NM19,good,0.526497115691503,ACPL,lidar
WRC21,fair,0.559712779521942,THPL,lidar
NM30,good,0.614996799400875,ACPL,lidar
NM31,good,0.511126750707626,ACPL,lidar
NM28,good,0.562761043508848,ACPL,lidar
NM29,good,0.57793284021318,ACPL,lidar
WRC33,poor,0.560040372610092,THPL,lidar
WRC32,fair,0.541972008070518,THPL,lidar
BM15B,poor,0.425506514310837,ACMA,lidar
BM16,fair,0.521019089221954,ACMA,lidar
WRC15,poor,0.478138826044181,THPL,lidar
DF16,fair,0.52671216277207,PSME,lidar
WRC14,fair,0.374334886670113,THPL,lidar
WRC5,good,0.574157963196437,THPL,lidar
BM6,poor,0.442439903815587,ACMA,lidar
DF6,fair,0.425092862410979,PSME,lidar
WRC4,poor,0.463350349664688,THPL,lidar
DF7,good,0.476504728198051,PSME,lidar
BM7,poor,0.462020431955655,ACMA,lidar
WRC1,fair,0.629453545266932,THPL,lidar
DF2,fair,0.529441912259374,PSME,lidar
DF9,fair,0.476985742064083,PSME,lidar
NM7,fair,0.518176114764707,ACPL,lidar
WRC7,fair,0.452329700812697,THPL,lidar
WRC6,fair,0.433431984980901,THPL,lidar
NM12,fair,0.472766719081185,ACPL,lidar
DF13,fair,0.421880267560482,PSME,lidar
DF12,fair,0.463055084149043,PSME,lidar
NM11,good,0.504843166645835,ACPL,lidar
NM17,fair,0.620011508464813,ACPL,lidar
DF19,fair,0.509257045530138,PSME,lidar
NM15,fair,0.547089752825824,ACPL,lidar
NM16,good,0.63411197917802,ACPL,lidar
DF20,fair,0.457033472756545,PSME,lidar
WRC17,fair,0.341739416122437,THPL,lidar
WRC19,fair,0.459485443738791,THPL,lidar
BM20,fair,0.365221798419952,ACMA,lidar
BM21,poor,0.346954087935581,ACMA,lidar
BM23,fair,0.419898986816406,ACMA,lidar
BM22,poor,0.359003553787867,ACMA,lidar
DF29,fair,0.475139697392782,PSME,lidar
BM34,fair,0.406559586524963,ACMA,lidar
NM6,fair,0.57115505033351,ACPL,lidar
NM5,good,0.608902956430729,ACPL,lidar
NM2,good,0.617828567028046,ACPL,lidar
WRC2,fair,0.547894249004977,THPL,lidar
BM31,fair,0.387812347032836,ACMA,lidar
WRC31,fair,0.36298893019557,THPL,lidar
WRC30,fair,0.381213024258614,THPL,lidar
DF27,good,0.454420914252599,PSME,lidar
DF26,good,0.445588678121567,PSME,lidar
WRC28,fair,0.366776222532446,THPL,lidar
NM24,fair,0.335300305485725,ACPL,lidar
NM26,poor,0.544695734977722,ACPL,lidar
NM25,fair,0.420225687844809,ACPL,lidar
BM29,fair,0.472008937253402,ACMA,lidar
DF10,fair,0.370883486100606,PSME,lidar
BM11,good,0.565889396660385,ACMA,lidar
WRC9,good,0.555225402116776,THPL,lidar
NM10,fair,0.485636488957839,ACPL,lidar
NM9,fair,0.407559007406235,ACPL,lidar
DF11,good,0.48814978202184,PSME,lidar
BM9,fair,0.460099540492322,ACMA,lidar
BM8,fair,0.418571870435368,ACMA,lidar
NM8,poor,0.345764239132404,ACPL,lidar
WRC8,fair,0.529275758065371,THPL,lidar
WRC24,poor,0.566460907459259,THPL,lidar
BM24,fair,0.485966679526538,ACMA,lidar
DF24,fair,0.394941551817788,PSME,lidar
DF23,fair,0.440200095375379,PSME,lidar
NM23,fair,0.515106230264618,ACPL,lidar
WRC25,fair,0.348444116967065,THPL,lidar
DF25,fair,0.447346303950657,PSME,lidar
BM25,fair,0.44582614629236,ACMA,lidar
BM26,good,0.381659634411335,ACMA,lidar
DF30,fair,0.405823926771841,PSME,lidar
WRC26,fair,0.467416986823082,THPL,lidar
WRC27,poor,0.419095192636762,THPL,lidar
NM32,fair,0.416424598544836,ACPL,lidar
NM33,good,0.261689627170563,ACPL,lidar
NM34,good,0.302408541951861,ACPL,lidar
DF14,fair,0.308255356633001,PSME,lidar
DF15,fair,0.359716453486019,PSME,lidar
WRC13,fair,0.384580951929092,THPL,lidar
NM13,good,0.456506339104279,ACPL,lidar
NM14,fair,0.497609746727076,ACPL,lidar
WRC10,fair,0.411246567964554,THPL,lidar
WRC11,fair,0.374961469322443,THPL,lidar
BM12,fair,0.532118797302246,ACMA,lidar
BM13,fair,0.534939344227314,ACMA,lidar
BM14,fair,0.463986591659114,ACMA,lidar
BM15,poor,0.489315141331066,ACMA,lidar
NM18,good,0.496998690068722,ACPL,lidar
BM18,fair,0.547830466835664,ACMA,lidar
DF22,fair,0.378045335412025,PSME,lidar
DF21,fair,0.342514592409134,PSME,lidar
BM32,good,0.530265571673711,ACMA,lidar
BM32B,good,0.50694808550179,ACMA,lidar
