tree_id_nu,health_rat,sample_ndvi,species,method
NM22,good,0.473178878978447,ACPL,radius
NM20,good,0.514313089496949,ACPL,radius
WRC23,fair,0.49090863764286,THPL,radius
WRC20,good,0.528377901566656,THPL,radius
NM21,good,0.616840537856607,ACPL,radius
NM19,good,0.518997510274251,ACPL,radius
WRC21,fair,0.555567644891285,THPL,radius
WRC22,fair,0.581664964556694,THPL,radius
NM30,good,0.602249080384219,ACPL,radius
NM28,good,0.544938842837627,ACPL,radius
NM29,good,0.58978771686554,ACPL,radius
WRC33,poor,0.529553286731243,THPL,radius
WRC32,fair,0.536079097539186,THPL,radius
NM31,good,0.499512061476707,ACPL,radius
BM15B,poor,0.388359932228923,ACMA,radius
BM17,poor,0.430144280195236,ACMA,radius
BM16,fair,0.521366076336967,ACMA,radius
DF18,fair,0.42569432923427,PSME,radius
DF17,poor,0.456483599685487,PSME,radius
DF16,fair,0.529434710741043,PSME,radius
WRC14,fair,0.365760498426177,THPL,radius
WRC15,poor,0.479394710980929,THPL,radius
WRC5,good,0.549784012138844,THPL,radius
DF6,fair,0.437862329185009,PSME,radius
BM6,poor,0.426280298829079,ACMA,radius
WRC4,poor,0.445569477975368,THPL,radius
DF7,good,0.478388674557209,PSME,radius
BM7,poor,0.459411395713687,ACMA,radius
WRC1,fair,0.636167705059052,THPL,radius
NM1,NA,0.560379430651665,ACPL,radius
BM2,NA,0.612191750534943,ACMA,radius
BM1,NA,0.599979774275822,ACMA,radius
DF2,fair,0.540126372988407,PSME,radius
DF1,NA,0.536447611348382,PSME,radius
DF9,fair,0.491848894357681,PSME,radius
DF8,fair,0.458279794880322,PSME,radius
NM7,fair,0.522378358244896,ACPL,radius
WRC7,fair,0.463830167877263,THPL,radius
WRC6,fair,0.44714715225356,THPL,radius
NM12,fair,0.46697210414069,ACPL,radius
DF13,fair,0.439284019172192,PSME,radius
NM11,good,0.491322011947632,ACPL,radius
DF12,fair,0.429146217182279,PSME,radius
NM17,fair,0.616402408906392,ACPL,radius
NM15,fair,0.579520046710968,ACPL,radius
NM16,good,0.608389135736686,ACPL,radius
DF20,fair,0.446945687351019,PSME,radius
DF19,fair,0.4851198770651,PSME,radius
WRC17,fair,0.332969891528289,THPL,radius
WRC19,fair,0.451981094322707,THPL,radius
BM20,fair,0.363759819513712,ACMA,radius
BM21,poor,0.325418885052204,ACMA,radius
BM23,fair,0.448025460754122,ACMA,radius
BM22,poor,0.315393414348364,ACMA,radius
DF29,fair,0.446274674855746,PSME,radius
BM34,fair,0.399975545704365,ACMA,radius
NM6,fair,0.606406663919424,ACPL,radius
NM5,good,0.567660727284171,ACPL,radius
NM2,good,0.616937585175037,ACPL,radius
WRC2,fair,0.499217298295763,THPL,radius
BM31,fair,0.351794934698514,ACMA,radius
WRC31,fair,0.357413841877133,THPL,radius
DF27,good,0.483110463619232,PSME,radius
DF26,good,0.464605435729027,PSME,radius
WRC30,fair,0.366991719231009,THPL,radius
WRC28,fair,0.374194668398963,THPL,radius
NM24,fair,0.30202196487065,ACPL,radius
BM30,fair,0.350339084863663,ACMA,radius
NM26,poor,0.525998150047503,ACPL,radius
NM25,fair,0.523910796269774,ACPL,radius
BM29,fair,0.545877799391747,ACMA,radius
DF10,fair,0.358994232756751,PSME,radius
BM11,good,0.588674500584602,ACMA,radius
BM10,good,0.562495218855994,ACMA,radius
WRC9,good,0.565976412207992,THPL,radius
NM10,fair,0.449753232845446,ACPL,radius
NM9,fair,0.451357163488865,ACPL,radius
DF11,good,0.386383461324792,PSME,radius
BM9,fair,0.467439233110501,ACMA,radius
BM8,fair,0.424597417486125,ACMA,radius
NM8,poor,0.346226565894626,ACPL,radius
WRC8,fair,0.570815920829773,THPL,radius
WRC24,poor,0.541700154542923,THPL,radius
BM24,fair,0.482011478494953,ACMA,radius
DF23,fair,0.422108733846295,PSME,radius
NM23,fair,0.484155710786581,ACPL,radius
WRC25,fair,0.340060334120478,THPL,radius
DF25,fair,0.424689678918748,PSME,radius
DF24,fair,0.401425302028656,PSME,radius
BM25,fair,0.37872052192688,ACMA,radius
DF30,fair,0.440104854603608,PSME,radius
BM26,good,0.36439520517985,ACMA,radius
WRC26,fair,0.470218561589718,THPL,radius
WRC27,poor,0.421952227130532,THPL,radius
NM32,fair,0.394373708963394,ACPL,radius
NM33,good,0.282677512277256,ACPL,radius
NM34,good,0.280236313288862,ACPL,radius
BM27,fair,0.316215805709362,ACMA,radius
DF14,fair,0.33881573108109603,PSME,radius
DF15,fair,0.316389760066723,PSME,radius
WRC13,fair,0.372651251157125,THPL,radius
NM13,good,0.426889162729768,ACPL,radius
NM14,fair,0.501553416252136,ACPL,radius
WRC10,fair,0.41429493914951,THPL,radius
WRC11,fair,0.379839897155762,THPL,radius
BM12,fair,0.525312624194405,ACMA,radius
BM14,fair,0.4346188786957,ACMA,radius
BM13,fair,0.615111887454987,ACMA,radius
BM15,poor,0.440499881903331,ACMA,radius
NM18,good,0.4920564458288,ACPL,radius
BM19,good,0.465777659958059,ACMA,radius
BM18,fair,0.55486900465829,ACMA,radius
DF22,fair,0.340345095843077,PSME,radius
DF21,fair,0.328403718196429,PSME,radius
BM32,good,0.505183050105738,ACMA,radius
BM32B,good,0.503075892584664,ACMA,radius
