OBJECTID,Inventory_,Species,DBH,Condition,TreeHeight,CrownWidth,CrownWid_1,CollectedB,Notes,CrownBaseH,GlobalID,StaffRevie,created_us,created_da,last_edite,last_edi_1,UserID,Structural,Carbon_Sto,Carbon_S_1,Carbon_Seq,Carbon_S_2,Stormwater,Stormwat_1,Pollution_,Pollutio_1,Total_Annu,Family,Genus,Common_nam,Genus_spec,Functional,Size,Native,Edible,Nuisance,Origin,Species_fa,Date_Inven,Site_Type,Site_Width,Wires,Site_devel,Site_Size,Address,Neighborho,Collected_,Planted_By,Plant_Date,Scientific,Common,Species_De,layer,path,treeID,crownArea,ndvi_count,ndvi_mean,ndvi_media,ndvi_stdev,ndvi_min,ndvi_max,ndvi_range,ndvi_varia,objectid_2,inventory,species.x,dbh_2,condition_2,tree_heigh,crown_widt,crown_wid_,collected__2,crown_base,created_da_2,last_edi_1_2,user_id,structural_2,carbon_sto_2,carbon_s_1_2,carbon_seq_2,carbon_s_2_2,stormwater_2,stormwat_1_2,pollution,pollutio_1_2,total_annu_2,family_2,genus_2,common_nam_2,genus_spec_2,field_1_1,site_type_2,site_width_2,wires_2,site_devel_2,site_size_2,address_2,neighborho_2,layer_2,tree_id,x,y,column_1,date,tree_id_nu,species.y,maple_coni,flourescen,start_time,neigborhoo,n_typology,location,street_par,height_m,height_spe,dbh_cm,dbh_specie,canopy_bas,crown_wi_1,cr_wdth_sp,percent_de,scorch_lev,evidence_o,buildings,paved_perc,nn_ne_dist,nn_ne_dbh,comp_4_qua,nn_ne_spec,nn_se_dist,nn_se_dbh,nn_se_spec,nn_sw_dist,nn_sw_dbh,nn_sw_spec,nn_nw_dist,nn_nw_dbh,nn_nw_spec,avg_chl,avg_chl_sp,avg_fv_fm,avg_fv_fm_,avg_fo,avg_fo_spe,avg_fm,avg_fm_spe,avg_porom,avg_porom_,avg_por_le,avg_por_ai,cloudy_cle,health_rat
"282338",2018/07/21,ACPL,18.800000000000001,Fair,"38","40","53",volunteer,,"9",{818BFCA5-B89A-4A60-83DE-07587086032A},,TL,2018/07/21,PKJOSHUA,2020/12/17,"7441",4371.819999999999709,1586.000000000000000,102.870000000000005,35.899999999999999,2.330000000000000,91.400000000000006,6.110000000000000,11.100000000000000,24.600000000000001,19.530000000000001,Sapindaceae,Acer,Norway maple,Acer platanoides,BD,M,No,,Yes,"Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,,,,,,,,,,,,,,,Extracted (location),"Point?crs=EPSG:3857&field=OBJECTID:integer(6,0)&field=Inventory_:date(10,0)&field=Species:string(6,0)&field=DBH:double(23,15)&field=Condition:string(4,0)&field=TreeHeight:integer(3,0)&field=CrownWidth:integer(3,0)&field=CrownWid_1:integer(3,0)&field=Coll","2",1359.000000000000000,14.000000000000000,0.488517737814358,0.506873250007629,0.058300539381901,0.357016265392303,0.555889666080475,0.198873400688171,0.003398952892221,"282338",7/21/18,ACPL,18.800000000000001,Fair,"38","40","53",volunteer,"9",7/21/18,12/17/20,"7441","4371.82","1586","102.87","35.9","2.33","91.4","6.11","11.1","24.6","19.53",Sapindaceae,Acer,Norway maple,Acer platanoides,NA,NA,NA,NA,NA,NA,NA,Argay,parktrees,NM22,-122.518951200000004,45.551139960000000,"87",8/4/2021,NM22,Norway,Maple,regular,12:09:00.000,Argay,3. H invest. C disinvest,Argay city park,P,9.400000000000000,"-0.675925926","49",NA,2.000000000000000,"14.5","0.728560776","5",1 no,y,n,"30","11.4","52.5",527.338292400000000,small leaf lime,"18.2","57",norway maple,"22.8","20",elm,"14.4","58",small leaf lime,"45.33333333","0.667994688","0.8143333333","0.791666666","184.6666667","184.6666667","999","0.190185081","327.9333333","0.958907352","27.63333333","27.86666667",sun,good
"282346",2018/07/21,ACPL,21.600000000000001,Fair,"52","44","48",volunteer,,"9",{1326A8FE-F8CA-41FE-A02C-1D46517A8CCA},,TL,2018/07/21,PKJOSHUA,2020/12/17,"7489",5721.149999999999636,2170.300000000000182,140.770000000000010,42.799999999999997,2.780000000000000,92.099999999999994,6.160000000000000,11.180000000000000,24.800000000000001,20.120000000000001,Sapindaceae,Acer,Norway maple,Acer platanoides,BD,M,No,,Yes,"Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,,,,,,,,,,,,,,,Extracted (location),"Point?crs=EPSG:3857&field=OBJECTID:integer(6,0)&field=Inventory_:date(10,0)&field=Species:string(6,0)&field=DBH:double(23,15)&field=Condition:string(4,0)&field=TreeHeight:integer(3,0)&field=CrownWidth:integer(3,0)&field=CrownWid_1:integer(3,0)&field=Coll","3",1629.000000000000000,18.000000000000000,0.512261304590437,0.536478221416473,0.083899158073699,0.336823731660843,0.603584647178650,0.266760915517807,0.007039068725476,"282346",7/21/18,ACPL,21.600000000000001,Fair,"52","44","48",volunteer,"9",7/21/18,12/17/20,"7489","5721.15","2170.3","140.77","42.8","2.78","92.1","6.16","11.18","24.8","20.12",Sapindaceae,Acer,Norway maple,Acer platanoides,NA,NA,NA,NA,NA,NA,NA,Argay,parktrees,NM20,-122.518765299999998,45.551014260000002,"84",8/4/2021,NM20,Norway,Maple,regular,11:33:00.000,Argay,3. H invest. C disinvest,Argay city park,P,14.400000000000000,"0.867283951","58",NA,1.500000000000000,"16","0.840417599","0",1 no,y,n,"20","17.4","54",579.733088500000008,willow,"6","61.5, c-2",wrc,"22.4","20",elm,"11.8","53",small leaf lime,"39.5","-0.494023904","0.8156666667","0.815476191","211.6666667","211.6666667","1152.666667","1.052028417","337.6666667","1.028026322","27.13333333","27.33333333",sun,good
"282353",2018/07/21,THPL,36.399999999999999,Fair,"60","37","36",volunteer,,"5",{23181341-D2BB-4E99-9D1A-4072A585CD68},,TL,2018/07/21,PKJOSHUA,2020/12/17,"7496",9664.760000000000218,2134.199999999999818,138.430000000000007,24.399999999999999,1.590000000000000,86.299999999999997,5.770000000000000,10.490000000000000,23.199999999999999,17.840000000000000,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,Yes,,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.",,,,,,,,,,,,,,,Extracted (location),"Point?crs=EPSG:3857&field=OBJECTID:integer(6,0)&field=Inventory_:date(10,0)&field=Species:string(6,0)&field=DBH:double(23,15)&field=Condition:string(4,0)&field=TreeHeight:integer(3,0)&field=CrownWidth:integer(3,0)&field=CrownWid_1:integer(3,0)&field=Coll","13",819.000000000000000,8.000000000000000,0.501804493367672,0.506373256444931,0.029629801223152,0.454818397760391,0.550476312637329,0.095657914876938,0.000877925120523,"282353",7/21/18,THPL,36.399999999999999,Fair,"60","37","36",volunteer,"5",7/21/18,12/17/20,"7496","9664.76","2134.2","138.43","24.4","1.59","86.3","5.77","10.49","23.2","17.84",Cupressaceae,Thuja,western redcedar,Thuja plicata,NA,NA,NA,NA,NA,NA,NA,Argay,parktrees,WRC23,-122.517726499999995,45.551609370000001,"86",8/4/2021,WRC23,WRC,Conifer,regular,11:57:00.000,Argay,3. H invest. C disinvest,Argay city park,P,20.600000000000001,"0.387312187","97.5",NA,1.000000000000000,"11.5","0.541958042","0",3 moderate,y,n,"0","11.4","63",2679.845870000000104,maple,"14.8","161.5",sequoia,n,n,n,"7","135, c-2",wrc,"19.1","-0.444223108","0.819","0.58","199","199","1104.666667","0.284569968","180.8666667","0.875594219","27.23333333","27.43333333",sun,fair
"282752",2018/07/21,ACPL,23.699999999999999,Fair,"58","48","59",volunteer,,"8",{0B497490-32A1-472D-A32D-109467DBB002},,TL,2018/07/21,PKJOSHUA,2020/12/17,"7515",6855.880000000000109,2675.800000000000182,173.560000000000002,48.200000000000003,3.130000000000000,121.000000000000000,8.090000000000000,14.690000000000000,32.500000000000000,25.899999999999999,Sapindaceae,Acer,Norway maple,Acer platanoides,BD,M,No,,Yes,"Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,,,,,,,,,,,,,,,Extracted (location),"Point?crs=EPSG:3857&field=OBJECTID:integer(6,0)&field=Inventory_:date(10,0)&field=Species:string(6,0)&field=DBH:double(23,15)&field=Condition:string(4,0)&field=TreeHeight:integer(3,0)&field=CrownWidth:integer(3,0)&field=CrownWid_1:integer(3,0)&field=Coll","15",1782.000000000000000,21.000000000000000,0.629438411621820,0.634718716144562,0.035735797007859,0.559040904045105,0.669743955135345,0.110703051090240,0.001277047187787,"282752",7/21/18,ACPL,23.699999999999999,Fair,"58","48","59",volunteer,"8",7/21/18,12/17/20,"7515","6855.88","2675.8","173.56","48.2","3.13","121","8.09","14.69","32.5","25.9",Sapindaceae,Acer,Norway maple,Acer platanoides,NA,NA,NA,NA,NA,NA,NA,Argay,parktrees,NM21,-122.517581500000006,45.551655580000002,"85",8/4/2021,NM21,Norway,Maple,regular,11:47:00.000,Argay,3. H invest. C disinvest,Argay city park,P,15.000000000000000,"1.052469136","63.5",NA,1.500000000000000,"16.5","0.877703207","0",1 no,y,n,"0","15.8","76",2612.832143999999971,oak,"14.8","161.5",sequoia,"11.8","97.5",WRC,"9","59.5",maple,"38.1","-0.772908367","0.8236666667","0.958333334","197.3333333","197.3333333","1122","0.880033651","347.3333333","1.096671874","27.26666667","27.5",sun,good
"283553",2018/07/21,THPL,32.000000000000000,Fair,"74","36","38",volunteer,,"6",{883FFF0F-AA20-4C46-8402-3C62F80047E0},,TL,2018/07/21,PKJOSHUA,2020/12/17,"7528",7667.149999999999636,1540.200000000000045,99.909999999999997,19.399999999999999,1.260000000000000,87.000000000000000,5.820000000000000,10.570000000000000,23.399999999999999,17.640000000000001,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,Yes,,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.",,,,,,,,,,,,,,,Extracted (location),"Point?crs=EPSG:3857&field=OBJECTID:integer(6,0)&field=Inventory_:date(10,0)&field=Species:string(6,0)&field=DBH:double(23,15)&field=Condition:string(4,0)&field=TreeHeight:integer(3,0)&field=CrownWidth:integer(3,0)&field=CrownWid_1:integer(3,0)&field=Coll","21",792.000000000000000,9.000000000000000,0.578129880958133,0.582991003990173,0.031613957967223,0.508961498737335,0.624069213867188,0.115107715129852,0.000999442338353,"283553",7/21/18,THPL,32.000000000000000,Fair,"74","36","38",volunteer,"6",7/21/18,12/17/20,"7528","7667.15","1540.2","99.91","19.4","1.26","87","5.82","10.57","23.4","17.64",Cupressaceae,Thuja,western redcedar,Thuja plicata,NA,NA,NA,NA,NA,NA,NA,Argay,parktrees,WRC22,-122.517589200000003,45.551365619999999,"82",8/4/2021,WRC22,WRC,Conifer,regular,11:02:00.000,Argay,3. H invest. C disinvest,Argay city park,P,23.800000000000001,"0.921535893","81.5",NA,1.500000000000000,"11","0.367132867","5",2 minor,y,n,"0","5","61",2611.156328999999914,maple,n,n,n,"11.8","86.5",Jap. Zelkova,"13.4","161.5",Sequoia,"33.46666667","0.986719788","0.83","0.8","205.6666667","205.6666667","1222","0.918187709","169.7","0.716343411","26.46666667","26.73333333",sun,fair
"282751",2018/07/21,THPL,36.090000000000003,Fair,"56","43","38",volunteer,,"4",{22B97BC6-A490-4768-8FB2-16B9AA6BA736},,TL,2018/07/21,PKJOSHUA,2020/12/17,"7514",9532.590000000000146,2138.300000000000182,138.699999999999989,24.199999999999999,1.570000000000000,106.299999999999997,7.110000000000000,12.910000000000000,28.600000000000001,21.590000000000000,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,Yes,,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.",,,,,,,,,,,,,,,Extracted (location),"Point?crs=EPSG:3857&field=OBJECTID:integer(6,0)&field=Inventory_:date(10,0)&field=Species:string(6,0)&field=DBH:double(23,15)&field=Condition:string(4,0)&field=TreeHeight:integer(3,0)&field=CrownWidth:integer(3,0)&field=CrownWid_1:integer(3,0)&field=Coll","28",837.000000000000000,9.000000000000000,0.539928423033820,0.544816315174103,0.014714474613218,0.512026131153107,0.560538351535797,0.048512220382690,0.000216515763143,"282751",7/21/18,THPL,36.090000000000003,Fair,"56","43","38",volunteer,"4",7/21/18,12/17/20,"7514","9532.59","2138.3","138.7","24.2","1.57","106.3","7.11","12.91","28.6","21.59",Cupressaceae,Thuja,western redcedar,Thuja plicata,NA,NA,NA,NA,NA,NA,NA,Argay,parktrees,WRC20,-122.518298099999996,45.551342949999999,"80",8/4/2021,WRC20,WRC,Conifer,regular,10:30:00.000,Argay,3. H invest. C disinvest,Argay city park,P,17.500000000000000,"-0.130217028",NA,NA,2.000000000000000,"12.5","0.891608392","0",2 minor,y,n,"5","8","119.5",3785.798537000000124,wrc,"17.8","182.5",Sequoia,"20.4","12",oak,"7","90",Jap. pagoda tree,"15.63333333","-0.789508632","0.782","-0.16","162","162","742.6666667","-1.670284768","200.2666667","1.152262788","28.83333333","29.1",sun,good
"283163",2018/07/21,ACPL,15.500000000000000,Fair,"39","46","35",volunteer,,"6",{C0FAB2AC-D710-446F-8588-4F9678781D50},,TL,2018/07/21,PKJOSHUA,2020/12/17,"7480",3021.659999999999854,1026.500000000000000,66.579999999999998,28.100000000000001,1.820000000000000,71.400000000000006,4.770000000000000,8.670000000000000,19.199999999999999,15.260000000000000,Sapindaceae,Acer,Norway maple,Acer platanoides,BD,M,No,,Yes,"Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,,,,,,,,,,,,,,,Extracted (location),"Point?crs=EPSG:3857&field=OBJECTID:integer(6,0)&field=Inventory_:date(10,0)&field=Species:string(6,0)&field=DBH:double(23,15)&field=Condition:string(4,0)&field=TreeHeight:integer(3,0)&field=CrownWidth:integer(3,0)&field=CrownWid_1:integer(3,0)&field=Coll","40",1116.000000000000000,12.000000000000000,0.526497115691503,0.521921306848526,0.054691382579306,0.409668803215027,0.610509932041168,0.200841128826141,0.002991147328436,"283163",7/21/18,ACPL,15.500000000000000,Fair,"39","46","35",volunteer,"6",7/21/18,12/17/20,"7480","3021.66","1026.5","66.58","28.1","1.82","71.4","4.77","8.67","19.2","15.26",Sapindaceae,Acer,Norway maple,Acer platanoides,NA,NA,NA,NA,NA,NA,NA,Argay,parktrees,NM19,-122.518319500000004,45.550690760000002,"83",8/4/2021,NM19,Norway,Maple,regular,11:20:00.000,Argay,3. H invest. C disinvest,Argay city park,P,21.399999999999999,"3.027777778","42.5",NA,1.500000000000000,"12","0.542132737","20",1 no,y,n,"30","16.8","27.5",541.873448899999971,plum,n,n,n,"23.4","10",elm,"6","62",oala,"33.2","-1.749003984","0.8063333333","0.648809523","188.6666667","188.6666667","984","0.106057207","235.8666667","0.305117644","27.13333333","27.4",sun,good
"283550",2018/07/21,THPL,42.500000000000000,Fair,"56","28","32",volunteer,,"2",{2419EFD8-34AE-453D-976C-2DE278BC4BD5},,TL,2018/07/21,PKJOSHUA,2020/12/17,"7512",12224.170000000000073,2803.800000000000182,181.860000000000014,29.300000000000001,1.900000000000000,58.299999999999997,3.900000000000000,7.080000000000000,15.699999999999999,12.880000000000001,Cupressaceae,Thuja,western redcedar,Thuja plicata,CE,L,Yes,,,"North America - British Columbia, Canada south through Washington, Oregon, northern Idaho and northwest Montana south to northern California; also in the Alaska Panhandle","The bark is dark brown, papery, and peels off easily in small strips.",,,,,,,,,,,,,,,Extracted (location),"Point?crs=EPSG:3857&field=OBJECTID:integer(6,0)&field=Inventory_:date(10,0)&field=Species:string(6,0)&field=DBH:double(23,15)&field=Condition:string(4,0)&field=TreeHeight:integer(3,0)&field=CrownWidth:integer(3,0)&field=CrownWid_1:integer(3,0)&field=Coll","48",1107.000000000000000,10.000000000000000,0.559712779521942,0.557345420122147,0.026715697533469,0.522361397743225,0.606384575366974,0.084023177623749,0.000713728494700,"283550",7/21/18,THPL,42.500000000000000,Fair,"56","28","32",volunteer,"2",7/21/18,12/17/20,"7512","12224.17","2803.8","181.86","29.3","1.9","58.3","3.9","7.08","15.7","12.88",Cupressaceae,Thuja,western redcedar,Thuja plicata,NA,NA,NA,NA,NA,NA,NA,Argay,parktrees,WRC21,-122.517663600000006,45.551149260000003,"81",8/4/2021,WRC21,WRC,Conifer,regular,10:46:00.000,Argay,3. H invest. C disinvest,Argay city park,P,19.000000000000000,"0.120200334",NA,NA,1.500000000000000,"12.5","0.891608392","10",3 moderate,y,n,"5","22.4","87",4205.067756999999801,wrc,"7","117.5",wrc,"11.8","168.5",sequoia,"10.8","83",wrc,"26.9","0.332669323","0.77","-0.4","225.3333333","225.3333333","984","-0.367048277","149.7","0.431118083","27.13333333","27.36666667",sun,fair
"526784",2019/07/09,ACPL,18.100000000000001,Fair,"37","49","42",staff,,"6",{163F8511-E377-4D10-AD77-F9AFBA3D0864},,bianca.dolan,2019/07/09,PKJOSHUA,2020/12/17,"17270",4063.710000000000036,1456.200000000000045,94.459999999999994,34.200000000000003,2.220000000000000,90.099999999999994,6.020000000000000,10.940000000000000,24.199999999999999,19.180000000000000,Sapindaceae,Acer,Norway maple,Acer platanoides,BD,M,No,,Yes,"Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,,,,,,,,,,,,,,,Extracted (location),"Point?crs=EPSG:3857&field=OBJECTID:integer(6,0)&field=Inventory_:date(10,0)&field=Species:string(6,0)&field=DBH:double(23,15)&field=Condition:string(4,0)&field=TreeHeight:integer(3,0)&field=CrownWidth:integer(3,0)&field=CrownWid_1:integer(3,0)&field=Coll","54",1431.000000000000000,14.000000000000000,0.614996799400875,0.619274765253067,0.023155212381684,0.556055605411530,0.644034862518311,0.087979257106781,0.000536163860441,"526784",7/9/19,ACPL,18.100000000000001,Fair,"37","49","42",staff,"6",7/9/19,12/17/20,"17270","4063.71","1456.2","94.46","34.2","2.22","90.1","6.02","10.94","24.2","19.18",Sapindaceae,Acer,Norway maple,Acer platanoides,NA,NA,NA,NA,NA,NA,NA,Centennial,parktrees,NM30,-122.504460399999999,45.513767459999997,"123",8/18/2021,NM30,Norway,Maple,regular,12:00:00.000,Centennial,3. H invest. C disinvest,Parklane park,P,9.000000000000000,"-0.799382716","46",NA,1.500000000000000,"14","0.691275168","10",1 no,y,n,"5","9.8","44.5",431.316146300000014,norway maple,n,n,n,"11.8","64",norway,n,n,n,"34.56666667","-1.476759628","0.7713333333","0.023809523","221.6666667","221.6666667","973","0.044363432",NA,NA,NA,NA,cloudy,good
"527977",2019/07/09,ACPL,21.199999999999999,Fair,"33","40","42",staff,,"5",{A7169077-16DA-47EF-BD73-D1E95895FD53},,bianca.dolan,2019/07/09,PKJOSHUA,2020/12/17,"17287",5516.930000000000291,2080.300000000000182,134.939999999999998,41.799999999999997,2.710000000000000,75.299999999999997,5.030000000000000,9.140000000000001,20.300000000000001,16.890000000000001,Sapindaceae,Acer,Norway maple,Acer platanoides,BD,M,No,,Yes,"Europe - from Scandinavia and western Europe (but not the British Isles) east to Ukraine, Russia, Georgia, Armenia, Turkey and Iran",Most common street tree in Portland. Pull a leaf off and milky white sap emits from the leaf stem. Yellow catkin flowers in spring before leaves.,,,,,,,,,,,,,,,Extracted (location),"Point?crs=EPSG:3857&field=OBJECTID:integer(6,0)&field=Inventory_:date(10,0)&field=Species:string(6,0)&field=DBH:double(23,15)&field=Condition:string(4,0)&field=TreeHeight:integer(3,0)&field=CrownWidth:integer(3,0)&field=CrownWid_1:integer(3,0)&field=Coll","57",1053.000000000000000,10.000000000000000,0.511126750707626,0.521076261997223,0.037690037235284,0.454998672008514,0.558791339397430,0.103792667388916,0.001420538906797,"527977",7/9/19,ACPL,21.199999999999999,Fair,"33","40","42",staff,"5",7/9/19,12/17/20,"17287","5516.93","2080.3","134.94","41.8","2.71","75.3","5.03","9.14","20.3","16.89",Sapindaceae,Acer,Norway maple,Acer platanoides,NA,NA,NA,NA,NA,NA,NA,Centennial,parktrees,NM31,-122.504111199999997,45.513766930000003,"124",8/18/2021,NM31,Norway,Maple,regular,12:20:00.000,Centennial,3. H invest. C disinvest,Parklane Park,P,9.600000000000000,"-0.614197531","55",NA,1.500000000000000,"14.5","0.728560776","0",1 no,n,n,"0",n,n,111.088488799999993,n,n,n,n,"14","44.5",Norway maple,n,n,n,"37","-0.992031873","0.7733333333","0.059523809","207.6666667","207.6666667","926","-0.219237241",NA,NA,NA,NA,sun,good
