species,dbh,condition,ndvi_count,sample_ndvi,ndvi_median,ndvi_stdev,ndvi_min,ndvi_max,ndvi_range,file,method,preds
PSME,10,Poor,2,0.574480175971985,0.574480175971985,0.013352870941162,0.561127305030823,0.587833046913147,0.026705741882324,street,LiDAR,good
PSME,9.8,Poor,0.371393133250321,0.495712235266997,0.51552152633667,0.038612442416747,0.482377707958221,0.548665344715118,0.066287636756897,street,LiDAR,good
PSME,15.9,Poor,1.671269099651665,0.481638167527246,0.486124813556671,0.032478987228319,0.434352785348892,0.525420725345612,0.091067939996719,street,LiDAR,good
PSME,11.5,Poor,0.27854484994855,0.381102585412262,0.382857397198677,0.030325845782434,0.352582365274429,0.413132429122925,0.060550063848495,street,LiDAR,fair
PSME,35,Fair,26,0.526163267401549,0.535040289163589,0.048128545370531003,0.403555601835251,0.59702080488205,0.193465203046799,street,LiDAR,good
THPL,35.7,Fair,7,0.31626062308039,0.312108069658279,0.031605389934746,0.281040489673615,0.36814296245575,0.087102472782135,street,LiDAR,fair
THPL,4.400000000000001,Fair,3,0.446860988934835,0.43253618478775,0.032080086351862,0.416743397712708,0.491303384304047,0.074559986591339,street,LiDAR,poor
PSME,27.1,Fair,2,0.441773757338524,0.441773757338524,0.017172321677208,0.424601435661316,0.458946079015732,0.034344643354416,street,LiDAR,good
THPL,6,Fair,1.856965666266017,0.522187814400229,0.515611425042152,0.040169697896493,0.441773593425751,0.557657182216644,0.115883588790894,street,LiDAR,poor
ACMA,25,Fair,2,0.588960856199265,0.588960856199265,0.009869426488876,0.579091429710388,0.598830282688141,0.019738852977753,street,LiDAR,good
ACMA,10,Fair,43,0.549998137840005,0.573729574680328,0.059668931772192,0.318443536758423,0.608891248703003,0.29044771194458,street,LiDAR,good
ACMA,8,Fair,2,0.524404972791672,0.524404972791672,0.007113546133041,0.51729142665863,0.531518518924713,0.014227092266083,street,LiDAR,fair
ACMA,3.5,Fair,4,0.388060495257378,0.387960508465767,0.050997382588163,0.329286366701126,0.447034597396851,0.117748230695724,street,LiDAR,poor
PSME,33,Fair,10,0.417972120642662,0.424524784088135,0.05126530590779,0.331516355276108,0.477073282003403,0.145556926727295,street,LiDAR,fair
PSME,13.2,Fair,1.207027683074352,0.426867193842882,0.43313492834568,0.018396132803545,0.411741644144058,0.452138602733612,0.040396958589554,street,LiDAR,good
PSME,16.3,Fair,5,0.355103135108948,0.353675216436386,0.029829369485345,0.30284520983696,0.388452678918839,0.085607469081879,street,LiDAR,fair
PSME,30.8,Good,21,0.418659938233239,0.41854989528656,0.033078390775736,0.361327826976776,0.471721678972244,0.110393851995468,street,LiDAR,good
PSME,20.4,Fair,4,0.403239123523235,0.403912261128426,0.03734119635991,0.36095979809761,0.44417217373848,0.083212375640869,street,LiDAR,fair
PSME,32,Fair,12,0.452042855322361,0.470861122012138,0.058702635942193,0.299303591251373,0.514141857624054,0.214838266372681,street,LiDAR,good
THPL,14.4,Fair,2,0.420393615961075,0.420393615961075,0.008635550737381,0.411758065223694,0.429029166698456,0.017271101474762,street,LiDAR,poor
THPL,15,Good,1.299875966390535,0.40184707587771,0.399700075387955,0.019757326581816,0.374959379434586,0.418529033660889,0.043569654226303,street,LiDAR,fair
ACMA,24.4,Fair,4,0.424269191920757,0.437555223703384,0.059250741502503,0.334747016429901,0.487219303846359,0.152472287416458,street,LiDAR,poor
ACMA,21,Fair,3,0.421123415231705,0.439415156841278,0.037288687592874,0.369143813848495,0.454811275005341,0.085667461156845,street,LiDAR,poor
ACMA,28.5,Fair,8,0.409943077713251,0.402190878987312,0.07906369659736,0.282981067895889,0.550711512565613,0.267730444669724,street,LiDAR,poor
ACMA,25.9,Fair,5,0.552228569984436,0.558241724967957,0.017224773986948,0.525227189064026,0.576169848442078,0.050942659378052,street,LiDAR,good
ACMA,6.6,Fair,3,0.43949149052302,0.411761492490768,0.054669584912882,0.390855044126511,0.515857934951782,0.125002890825272,street,LiDAR,poor
ACMA,17.7,Fair,6,0.398706684509913,0.395221322774887,0.062590982191255,0.310666054487228,0.492663711309433,0.181997656822205,street,LiDAR,poor
ACMA,22.1,Fair,3,0.464921762545904,0.474863737821579,0.040380001798588,0.411250829696655,0.508650720119476,0.097399890422821,street,LiDAR,poor
ACMA,11,Poor,1.85696566626962,0.373361635176253,0.382327765226364,0.037307689046331,0.310170710086823,0.407801330089569,0.097630620002747,street,LiDAR,poor
PSME,22.4,Good,6,0.309545084834099,0.307358384132385,0.037920088794004,0.244362324476242,0.356757700443268,0.112395375967026,street,LiDAR,fair
PSME,16.5,Poor,2,0.45747546851635,0.45747546851635,0.035558596253395,0.421916872262955,0.493034064769745,0.07111719250679,street,LiDAR,good
PSME,38.2,Fair,10,0.449664035439491,0.453247606754303,0.024153846839318,0.408167600631714,0.477316975593567,0.069149374961853,street,LiDAR,good
ACPL,12.9,Fair,2,0.266761481761932,0.266761481761932,0.0329729616642,0.233788520097733,0.299734443426132,0.0659459233284,street,LiDAR,good
ACMA,6,Poor,4,0.567336820065975,0.583923399448395,0.044508364332381,0.492411404848099,0.609089076519012,0.116677671670914,street,LiDAR,good
ACMA,44.7,Poor,21,0.459379081215177,0.469783812761307,0.070483202196507,0.335469037294388,0.556149542331696,0.220680505037308,street,LiDAR,poor
