species,dbh,condition,ndvi,file
PSME,10,Poor,0.499570399522781,street
PSME,9.8,Poor,0.482377707958221,street
PSME,10,Fair,0.344624638557434,street
PSME,15.9,Poor,0.514350831508636,street
PSME,11.5,Poor,0.413132429122925,street
PSME,35,Fair,0.446448862552643,street
THPL,35.7,Fair,0.36814296245575,street
THPL,4.400000000000001,Fair,0.416743397712708,street
PSME,27.1,Fair,0.424601435661316,street
THPL,6,Fair,0.557657182216644,street
ACMA,25,Fair,0.579091429710388,street
ACMA,10,Fair,0.54472953081131,street
ACMA,8,Fair,0.51729142665863,street
ACMA,11.3,Poor,0.521919786930084,street
ACMA,3.5,Fair,0.329286366701126,street
ACPL,8.1,Good,0.526494681835175,street
PSME,33,Fair,0.466489255428314,street
ACPL,8.1,Fair,0.310464769601822,street
PSME,13.2,Fair,0.452138602733612,street
PSME,16.3,Fair,0.325973778963089,street
PSME,30.8,Good,0.363605171442032,street
PSME,20.4,Fair,0.44417217373848,street
PSME,32,Fair,0.470956265926361,street
THPL,7.9,Fair,0.311545729637146,street
THPL,14.4,Fair,0.411758065223694,street
THPL,15,Good,0.416297554969788,street
ACMA,21,Fair,0.495754927396774,street
ACMA,28.5,Fair,0.466403096914291,street
ACMA,6.6,Fair,0.515857934951782,street
ACMA,25.9,Fair,0.559139132499695,street
ACMA,22.1,Fair,0.508650720119476,street
ACMA,11,Poor,0.373900860548019,street
PSME,22.4,Good,0.356757700443268,street
PSME,16.5,Poor,0.493034064769745,street
ACMA,24.4,Fair,0.487219303846359,street
ACMA,17.7,Fair,0.468844145536423,street
PSME,38.2,Fair,0.461090892553329,street
ACPL,12.9,Fair,0.233788520097733,street
ACMA,10.8,Fair,0.586811304092407,street
ACMA,44.7,Poor,0.510300159454346,street
ACMA,10.8,Fair,0.423701107501984,street
ACMA,19.7,Fair,0.508252620697021,street
ACPL,3.7,Fair,0.315777689218521,street
ACPL,23,Fair,0.577913045883179,street
THPL,9.1,Fair,0.464825838804245,street
THPL,24,Fair,0.378556817770004,street
ACMA,33.3,Fair,0.511972010135651,street
THPL,10,Poor,0.350759774446487,street
ACPL,9.2,Good,0.531663954257965,street
PSME,30.3,Good,0.430156141519547,street
PSME,27.1,Fair,0.461544066667557,street
PSME,11,Poor,0.486491680145264,street
PSME,27,Fair,0.435284942388535,street
PSME,38.4,Fair,0.447666525840759,street
PSME,32.3,Fair,0.398556619882584,street
ACPL,8.800000000000002,Poor,0.239264592528343,street
ACMA,18,Fair,0.593138813972473,street
ACPL,17.9,Fair,0.521318376064301,street
ACPL,17.7,Fair,0.539750576019287,street
THPL,31.9,Fair,0.447439163923264,street
PSME,18.7,Fair,0.365142077207565,street
THPL,29.7,Fair,0.468977153301239,street
THPL,17.8,Fair,0.48643359541893,street
PSME,26.5,Fair,0.440659016370773,street
ACPL,15.6,Fair,0.344108104705811,street
ACPL,21.4,Fair,0.502139568328857,street
THPL,16.6,Fair,0.566127181053162,street
THPL,6.9,Fair,0.471349269151688,street
THPL,25,Fair,0.498920500278473,street
ACMA,3.7,Fair,0.450620919466019,street
ACPL,11.2,Fair,0.5284783244133,street
ACMA,20,Fair,0.61097913980484,street
ACPL,29.2,Poor,0.634245991706848,street
ACMA,13.3,Fair,0.470772206783295,street
ACPL,30.4,Poor,0.547610223293304,street
THPL,30,Good,0.587710320949554,street
ACPL,10.9,Fair,0.50290060043335,street
THPL,33.1,Good,0.537764847278595,street
ACPL,4.9,Good,0.163835793733597,street
ACPL,28.7,Fair,0.62362003326416,street
PSME,40.2,Good,0.498326361179352,street
ACPL,9.5,Fair,0.500902712345123,street
ACPL,6.2,Fair,0.422003448009491,street
THPL,23.9,Fair,0.303915858268738,street
ACPL,18.1,Fair,0.436482906341553,street
ACMA,4.7,Fair,0.339510887861252,street
ACMA,7.3,Fair,0.446588039398193,street
ACPL,38.9,Poor,0.517571091651917,street
ACPL,16.3,Fair,0.505710124969482,street
ACPL,6.1,Fair,0.421485394239426,street
THPL,13.6,Fair,0.4837287068367,street
THPL,12.1,Fair,0.453381031751633,street
THPL,12.7,Poor,0.306298077106476,street
THPL,10,Fair,0.429700255393982,street
THPL,10,Fair,0.359794467687607,street
THPL,7,Fair,0.349366366863251,street
THPL,9,Fair,0.349366366863251,street
ACPL,6.9,Fair,0.303035974502563,street
ACPL,4.2,Fair,0.329860717058182,street
ACMA,21.1,Poor,0.478808730840683,street
ACPL,25.7,Fair,0.587885022163391,park
ACPL,22.5,Fair,0.539573013782501,park
ACPL,22.4,Fair,0.590662062168121,park
ACPL,22,Fair,0.585794806480408,park
ACPL,6,Fair,0.312915325164795,park
PSME,15.1,Fair,0.510338246822357,park
ACPL,18.1,Fair,0.609192192554474,park
ACPL,24.1,Fair,0.568764746189117,park
THPL,40.8,Fair,0.513808369636536,park
ACPL,38.5,Good,0.593137979507446,park
ACPL,27.1,Fair,0.594053506851196,park
PSME,29.8,Poor,0.518175005912781,park
THPL,16.4,Fair,0.529654264450073,park
PSME,25.8,Fair,0.467168390750885,park
PSME,52.2,Fair,0.423522055149078,park
THPL,6.9,Fair,0.460479557514191,park
ACPL,22.8,Fair,0.64024144411087,park
ACPL,22,Fair,0.647682309150696,park
THPL,41.1,Fair,0.508891105651855,park
ACPL,3.2,Fair,0.548964321613312,park
ACPL,15,Fair,0.540533661842346,park
PSME,19.8,Fair,0.478538393974304,park
THPL,24,Fair,0.509425520896912,park
ACPL,19.9,Fair,0.513962924480438,park
ACPL,17.1,Fair,0.542670369148254,park
THPL,27.7,Fair,0.3641317486763,park
ACPL,23,Fair,0.625203847885132,park
ACPL,26.9,Fair,0.633858144283295,park
ACPL,24.7,Fair,0.593903720378876,park
THPL,21.8,Fair,0.529588401317596,park
ACPL,26.8,Fair,0.57534247636795,park
ACMA,35,Fair,0.558400869369507,park
ACMA,21.5,Fair,0.595891356468201,park
PSME,24.4,Fair,0.525654196739197,park
ACMA,54.3,Poor,0.518373012542725,park
PSME,32,Fair,0.470929712057114,park
ACMA,42.1,Fair,0.429764181375504,park
ACMA,33.2,Fair,0.574278593063354,park
ACMA,21.3,Fair,0.527874767780304,park
ACMA,15.9,Fair,0.522390305995941,park
ACMA,17.8,Fair,0.517252147197723,park
ACMA,28.9,Fair,0.561779797077179,park
PSME,27.9,Fair,0.544294655323029,park
ACMA,29,Fair,0.536449015140533,park
PSME,24.7,Fair,0.532411336898804,park
THPL,13.6,Fair,0.525165796279907,park
THPL,23.2,Fair,0.466302663087845,park
THPL,10,Good,0.438177406787872,park
THPL,34.4,Fair,0.393435180187225,park
PSME,44.2,Good,0.566081821918488,park
ACPL,23.7,Good,0.587820053100586,park
THPL,16.5,Fair,0.495008438825607,park
PSME,25.2,Fair,0.615021169185638,park
THPL,41.3,Fair,0.620267987251282,park
THPL,21.8,Fair,0.532160937786102,park
PSME,36.7,Fair,0.504053950309753,park
PSME,36.8,Fair,0.501152873039246,park
ACPL,21,Fair,0.57683002948761,park
ACMA,9,Good,0.396304100751877,park
PSME,39.5,Fair,0.559514403343201,park
ACPL,35.8,Fair,0.630957126617432,park
PSME,32.9,Fair,0.517542541027069,park
ACMA,41,Fair,0.602510988712311,park
PSME,35.3,Fair,0.518936991691589,park
PSME,24.3,Fair,0.557165265083313,park
ACMA,46.7,Fair,0.608088672161102,park
THPL,37.2,Fair,0.473471313714981,park
THPL,33.7,Fair,0.497595310211182,park
ACMA,21.7,Fair,0.564179480075836,park
ACMA,39.1,Fair,0.572089195251465,park
PSME,37.1,Fair,0.51336944103241,park
PSME,34,Fair,0.524450480937958,park
PSME,22.3,Fair,0.525703191757202,park
PSME,28,Fair,0.522904217243195,park
PSME,34,Fair,0.536466836929321,park
THPL,5,Fair,0.443615049123764,park
THPL,12.5,Fair,0.627447485923767,park
THPL,11.7,Fair,0.605571925640106,park
ACMA,22.9,Fair,0.516583502292633,park
THPL,11.3,Fair,0.62670373916626,park
ACMA,22.5,Fair,0.634160339832306,park
ACMA,13.4,Good,0.600767135620117,park
ACPL,4.5,Poor,0.296727359294891,park
ACMA,24,Fair,0.501182436943054,park
ACMA,24.3,Fair,0.524348378181458,park
PSME,21.4,Fair,0.54663622379303,park
PSME,24.4,Fair,0.546974360942841,park
ACMA,16,Poor,0.524855613708496,park
THPL,50,Fair,0.436968266963959,park
PSME,15.8,Fair,0.502024054527283,park
ACMA,30,Poor,0.513228058815002,park
THPL,4.5,Good,0.336688995361328,park
ACMA,24,Poor,0.530227661132812,park
ACMA,6,Fair,0.45983412861824,park
ACMA,18,Poor,0.416732788085938,park
THPL,4.5,Good,0.27825915813446,park
ACPL,22.8,Fair,0.560250878334045,park
THPL,14.2,Fair,0.541868150234222,park
ACPL,7.1,Fair,0.521764695644379,park
THPL,37.2,Good,0.492222487926483,park
